matchId,game_id,season,gameDuration,gameMode,gameCreation
EUW1_5657698914,5657698914,12,2444,CLASSIC,1641747162000
EUW1_5657619193,5657619193,12,2040,CLASSIC,1641744722000
EUW1_5657621583,5657621583,12,1388,CLASSIC,1641742853000
EUW1_5656418913,5656418913,12,2644,CLASSIC,1641700410000
EUW1_5656466609,5656466609,12,1240,CLASSIC,1641698286000
EUW1_5656384043,5656384043,12,1948,CLASSIC,1641695241000
EUW1_5656348448,5656348448,12,2500,CLASSIC,1641691833000
EUW1_5656232365,5656232365,12,1596,CLASSIC,1641685373000
EUW1_5656102305,5656102305,12,2448,CLASSIC,1641682506000
EUW1_5655916288,5655916288,12,2551,CLASSIC,1641678389000
EUW1_5654471098,5654471098,12,1962,CLASSIC,1641616135000
EUW1_5654400106,5654400106,12,1226,CLASSIC,1641614553000
EUW1_5643499174,5643499174,11,2048,CLASSIC,1641151652000
EUW1_5643403203,5643403203,11,1729,CLASSIC,1641149420000
EUW1_5643335300,5643335300,11,1690,CLASSIC,1641147215000
EUW1_5642923101,5642923101,11,1670,CLASSIC,1641134387000
EUW1_5642831545,5642831545,11,2572,CLASSIC,1641130307000
EUW1_5642119260,5642119260,11,1655,CLASSIC,1641080733000
EUW1_5639944203,5639944203,11,2048,CLASSIC,1640981302000
EUW1_5639600191,5639600191,11,1750,CLASSIC,1640965263000
EUW1_5639523751,5639523751,11,1801,CLASSIC,1640962693000
EUW1_5639505543,5639505543,11,2013,CLASSIC,1640960267000
EUW1_5638759227,5638759227,11,1986,CLASSIC,1640908039000
EUW1_5631794841,5631794841,11,1962,CLASSIC,1640623399000
EUW1_5630715054,5630715054,11,1976,CLASSIC,1640555214000
EUW1_5630588963,5630588963,11,1552,CLASSIC,1640553345000
EUW1_5630426052,5630426052,11,1207,CLASSIC,1640546560000
EUW1_5627651304,5627651304,11,706,CLASSIC,1640402497000
EUW1_5627540448,5627540448,11,1358,CLASSIC,1640400851000
EUW1_5624916119,5624916119,11,1904,CLASSIC,1640275272000
EUW1_5624901495,5624901495,11,1351,CLASSIC,1640273210000
EUW1_5619212713,5619212713,11,2220,CLASSIC,1640008191000
EUW1_5613198970,5613198970,11,1528,CLASSIC,1639695437000
EUW1_5613049875,5613049875,11,2550,CLASSIC,1639692353000
